group,window,scale,nperseg,noverlap,hop,delta_f_hz,delta_t_ms,band_bins,band_cols,rms_contrast,michelson_p5p95
nperseg,hann,dB,128,96,32,344.53,0.726,32,8265,0.2995051122205539,0.9292328539941348
nperseg,hann,dB,512,384,128,86.13,2.902,128,2064,0.2965502064065283,0.9999999999989889
nperseg,hann,dB,1024,768,256,43.07,5.805,255,1030,0.2718889754518914,0.9999999999989844
nperseg,hann,dB,4096,3072,1024,10.77,23.22,1022,255,0.24221368622367723,0.999999999998877
nperseg,hann,dB,16384,12288,4096,2.69,92.88,4087,61,0.19608092560775212,0.9999999999985643
window,hann,dB,1024,768,256,43.07,5.805,255,1030,0.2718889754518914,0.9999999999989844
window,boxcar,dB,1024,768,256,43.07,5.805,255,1030,0.16169081977211658,0.4100810839527922
window,blackman,dB,1024,768,256,43.07,5.805,255,1030,0.30632139809941067,0.9999999999989839
scale,hann,dB,1024,768,256,43.07,5.805,255,1030,0.2718889754518914,0.9999999999989844
scale,hann,linear,1024,768,256,43.07,5.805,255,1030,0.22303927712518606,0.9999999865432189
