sigma,k,threshold,n_detected,tp,fp,fn,precision,recall,f1
0,0.50,1.709679e+07,3,3,0,0,1.000000,1.000000,1.000000
0,0.75,2.255534e+07,3,3,0,0,1.000000,1.000000,1.000000
0,1.00,2.801388e+07,3,3,0,0,1.000000,1.000000,1.000000
0,1.25,3.347243e+07,3,3,0,0,1.000000,1.000000,1.000000
0,1.50,3.893097e+07,3,3,0,0,1.000000,1.000000,1.000000
0,1.75,4.438952e+07,3,3,0,0,1.000000,1.000000,1.000000
0,2.00,4.984807e+07,3,3,0,0,1.000000,1.000000,1.000000
0,2.25,5.530661e+07,3,3,0,0,1.000000,1.000000,1.000000
0,2.50,6.076516e+07,3,3,0,0,1.000000,1.000000,1.000000
0,2.75,6.622370e+07,3,3,0,0,1.000000,1.000000,1.000000
0,3.00,7.168225e+07,3,3,0,0,1.000000,1.000000,1.000000
0,3.25,7.714079e+07,3,3,0,0,1.000000,1.000000,1.000000
0,3.50,8.259934e+07,3,3,0,0,1.000000,1.000000,1.000000
0,3.75,8.805788e+07,3,3,0,0,1.000000,1.000000,1.000000
0,4.00,9.351643e+07,3,3,0,0,1.000000,1.000000,1.000000
0,4.25,9.897498e+07,3,3,0,0,1.000000,1.000000,1.000000
0,4.50,1.044335e+08,3,3,0,0,1.000000,1.000000,1.000000
0,4.75,1.098921e+08,3,3,0,0,1.000000,1.000000,1.000000
0,5.00,1.153506e+08,3,3,0,0,1.000000,1.000000,1.000000
0,5.25,1.208092e+08,3,3,0,0,1.000000,1.000000,1.000000
0,5.50,1.262677e+08,3,3,0,0,1.000000,1.000000,1.000000
0,5.75,1.317262e+08,3,3,0,0,1.000000,1.000000,1.000000
0,6.00,1.371848e+08,3,3,0,0,1.000000,1.000000,1.000000
20,0.50,5.185712e+07,3,3,0,0,1.000000,1.000000,1.000000
20,0.75,5.650953e+07,3,3,0,0,1.000000,1.000000,1.000000
20,1.00,6.116194e+07,3,3,0,0,1.000000,1.000000,1.000000
20,1.25,6.581435e+07,3,3,0,0,1.000000,1.000000,1.000000
20,1.50,7.046676e+07,3,3,0,0,1.000000,1.000000,1.000000
20,1.75,7.511917e+07,3,3,0,0,1.000000,1.000000,1.000000
20,2.00,7.977158e+07,3,3,0,0,1.000000,1.000000,1.000000
20,2.25,8.442399e+07,3,3,0,0,1.000000,1.000000,1.000000
20,2.50,8.907640e+07,3,3,0,0,1.000000,1.000000,1.000000
20,2.75,9.372881e+07,3,3,0,0,1.000000,1.000000,1.000000
20,3.00,9.838122e+07,3,3,0,0,1.000000,1.000000,1.000000
20,3.25,1.030336e+08,3,3,0,0,1.000000,1.000000,1.000000
20,3.50,1.076860e+08,3,3,0,0,1.000000,1.000000,1.000000
20,3.75,1.123384e+08,3,3,0,0,1.000000,1.000000,1.000000
20,4.00,1.169909e+08,3,3,0,0,1.000000,1.000000,1.000000
20,4.25,1.216433e+08,3,3,0,0,1.000000,1.000000,1.000000
20,4.50,1.262957e+08,3,3,0,0,1.000000,1.000000,1.000000
20,4.75,1.309481e+08,3,3,0,0,1.000000,1.000000,1.000000
20,5.00,1.356005e+08,3,3,0,0,1.000000,1.000000,1.000000
20,5.25,1.402529e+08,3,3,0,0,1.000000,1.000000,1.000000
20,5.50,1.449053e+08,3,3,0,0,1.000000,1.000000,1.000000
20,5.75,1.495577e+08,3,3,0,0,1.000000,1.000000,1.000000
20,6.00,1.542101e+08,3,3,0,0,1.000000,1.000000,1.000000
