sigma,series,top3_min,rest_max,ratio,mean,std,k_low,k_high,ma_ratio_78,ma_ratio_214,ma_ratio_257
0,D,1.868874e+08,1.213419e+07,1.540172e+01,6.179702e+06,2.183418e+07,0.2727,8.2764,13.7216,12.4620,13.1047
0,H,6.995023e-01,1.352758e-01,5.170933e+00,2.779870e-02,1.234592e-01,0.8705,5.4407,,,
5,D,1.845516e+08,1.893924e+07,9.744399e+00,1.459195e+07,2.077137e+07,0.2093,8.1824,8.3617,9.3824,7.9962
5,H,6.369010e-01,8.457176e-02,7.530895e+00,2.337017e-02,1.167442e-01,0.5242,5.2553,,,
10,D,1.823263e+08,2.807538e+07,6.494172e+00,2.397429e+07,1.983894e+07,0.2067,7.9819,5.9083,7.2890,5.5930
10,H,5.529871e-01,6.203993e-02,8.913406e+00,2.015746e-02,1.030089e-01,0.4066,5.1727,,,
20,D,1.803623e+08,4.766047e+07,3.784317e+00,4.255230e+07,1.860964e+07,0.2745,7.4053,3.7523,5.0218,3.5608
20,H,4.420120e-01,3.227720e-02,1.369425e+01,1.566410e-02,7.876845e-02,0.2109,5.4127,,,
40,D,1.820786e+08,8.571628e+07,2.124201e+00,7.620981e+07,1.773557e+07,0.5360,5.9693,2.3176,3.1546,2.1819
40,H,3.652894e-01,2.011767e-02,1.815764e+01,1.255282e-02,5.569930e-02,0.1358,6.3329,,,
