rank,method_A_gram,method_A_count,A_nonadjacent,method_B_gram,method_B_count
1,natural language,15,no,natural language,15
2,e g,9,no,e g,9
3,language processing,9,no,language processing,9
4,machine translation,5,no,machine translation,5
5,language understanding,3,no,language understanding,3
6,machine learning,3,no,machine learning,3
7,annotated data,2,no,annotated data,2
8,artificial intelligence,2,no,artificial intelligence,2
9,g development,2,yes,head hurts,2
10,generation natural,2,no,language data,2
