variant,n,rank,gram,count
raw,1,1,the,61
raw,1,2,of,45
raw,1,3,in,27
raw,1,4,and,26
raw,1,5,a,23
raw,1,6,s,23
raw,1,7,language,21
raw,1,8,to,17
raw,1,9,natural,15
raw,1,10,data,9
raw,2,1,natural language,15
raw,2,2,e g,9
raw,2,3,in the,9
raw,2,4,language processing,9
raw,2,5,of the,8
raw,2,6,the s,7
raw,2,7,as a,5
raw,2,8,machine translation,5
raw,2,9,with the,4
raw,2,10,amounts of,3
raw,3,1,natural language processing,7
raw,3,2,in the s,4
raw,3,3,in natural language,3
raw,3,4,natural language understanding,3
raw,3,5,of natural language,3
raw,3,6,as a result,2
raw,3,7,e g the,2
raw,3,8,g the development,2
raw,3,9,language processing systems,2
raw,3,10,machine translation was,2
filtered,1,1,language,21
filtered,1,2,natural,15
filtered,1,3,data,9
filtered,1,4,e,9
filtered,1,5,g,9
filtered,1,6,nlp,9
filtered,1,7,processing,9
filtered,1,8,machine,8
filtered,1,9,systems,8
filtered,1,10,learning,7
filtered,2,1,natural language,15
filtered,2,2,e g,9
filtered,2,3,language processing,9
filtered,2,4,machine translation,5
filtered,2,5,language understanding,3
filtered,2,6,machine learning,3
filtered,2,7,annotated data,2
filtered,2,8,artificial intelligence,2
filtered,2,9,g development,2
filtered,2,10,generation natural,2
filtered,3,1,natural language processing,7
filtered,3,2,natural language understanding,3
filtered,3,3,e g development,2
filtered,3,4,generation natural language,2
filtered,3,5,language processing due,2
filtered,3,6,language processing systems,2
filtered,3,7,non annotated data,2
filtered,3,8,able take advantage,1
filtered,3,9,accurate results given,1
filtered,3,10,accurately extract information,1
