method,alpha,n,succ_probes,unsucc_probes,succ_ns,unsucc_ns
chained,0.25,32768,1.12585,1.25,87.6109,42.5135
openaddr,0.25,32768,1.1666,1.38959,775.262,167.805
chained,0.5,65536,1.24974,1.50014,814.335,2720.91
openaddr,0.5,65536,1.50391,2.51172,3652.69,1097.03
chained,0.7,91750,1.34897,1.70043,67.9187,1278.56
openaddr,0.7,91750,2.17365,6.11531,2251.94,1942.38
chained,0.8,104858,1.39974,1.79996,1158.11,974.102
openaddr,0.8,104858,2.95143,12.9226,1024,311.865
chained,0.9,117965,1.45118,1.90035,120.575,453.572
openaddr,0.9,117965,5.53371,49.3506,1214.9,640.8
chained,0.95,124518,1.47101,1.95075,86.5936,2322.49
openaddr,0.95,124518,10.6894,176.76,3175,16621
