hash,m,n,empty,longest,mean_nonempty,variance,chi2
add,16,5000,0,353,312.50,284.62,14.57
fnv1a,16,5000,0,339,312.50,244.00,12.49
add,17,5000,0,329,294.12,311.16,17.99
fnv1a,17,5000,0,315,294.12,253.75,14.67
add,256,5000,0,32,19.53,20.44,267.87
fnv1a,256,5000,0,31,19.53,19.89,260.70
add,257,5000,0,33,19.46,20.84,275.28
fnv1a,257,5000,0,31,19.46,17.91,236.63
add,1024,5000,54,21,5.15,14.77,3097.79
fnv1a,1024,5000,11,13,4.94,4.75,996.54
add,1031,5000,57,20,5.13,14.54,3091.29
fnv1a,1031,5000,6,12,4.88,4.78,1016.09
